code,title,description,credits,department,level,prereqs
HIST 3714,War and Medicine,"Examines the relationship between war and medicine. Focus on suffering and care during and after major conflicts, both on the battlefield and the home front. Emphasis on race, class, and gender.",3,History,3000,
HIST 3724,"History of Disease, Medicine, and Health","Development of Western concepts and institutions of disease, medicine, and health with emphasis on nineteenth century to present. Social construction of disease, and relationship between health and social, economic, and political structures. Special attention to roles of race, class, gender and ethical issues in medical care and research, and to the lived experience of suffering, treatment and healing.",3,History,3000,
HIST 3734,History of Modern Biology,"Exploration of the history of biology during the nineteenth century and twentieth centuries, including developments in evolutionary biology, genetics and molecular biology, biology and race, and conservation biology. Emphasis on biology’s reciprocal relationship with society, how it has helped shape ideas of race and ethnicity, and the ethical dilemmas it has generated.",3,History,3000,
HIST 3744,Social History of Film,"This course introduces students to critical issues in the social history of film, examining the production and consumption of film in specific historical moments as well as the effects of film on society, culture, and politics. The specific thematic content is variable. May be repeated with different content for a maximum of 9 credits.",3,History,3000,
HIST 3754,Public History,"Investigation of the ways in which historians research, interpret, and present the past to the public.",3,History,3000,
HIST 3764,Oral History: Methods and Practices,"Explores the theory and methodology of oral history practice. Considers the use of oral history interviews in historical research, and explores questions of ethics, interpretation, and the construction of memory. Includes training in technical operations and a variety of interview techniques, transcription, and historical use of interviews.",3,History,3000,
HIST 3774,Digital History,"Develops skills and methods for researching and presenting history in a digital environment, with special emphasis on use of digital media as a tool for public historians.",3,History,3000,
HIST 3804,Mesoamerica and the Andes,"Explores major themes and events in the political and cultural history of major empires in Mexico and Peru from 900 CE to the present. Examines the emergence of Indigenous empires, their confrontation with European conquistadors, and life in the early colonial period. Discusses the cultural collision that occurred when Europeans arrived in the Americas, and complicates the narrative of the conquest. Focuses on the complex interplay between geography, political and economic organization, and social change. Investigates the position of Indigenous peoples in pre-Columbian and European empires in Mesoamerica and the Andes. Discussion of the methods and sources to interpret postclassic and early Colonial Latin America. Illustrate Indigenous Methodologies.",3,History,3000,
HIST 3814,Historical Methods,"Explanation of the discipline of history: its history, philosophies, and methods. Emphasis on methods of historical research, identifying historical evidence, and developing historical writing.",3,History,3000,
HIST 3914,Critical Reading and Analysis in History,"Develops critical reading skills in history. Demonstrates that historical knowledge is part of a scholarly conversation that grows and evolves over time. Assesses the critical role of interpretation in history, investigates historical controversies and debates, and develops skills to evaluate historiographical trends.",3,History,3000,
HIST 4004,Topics in Social and Cultural History,Selected topics in social and cultural history. May be repeated with different content. 3 other hours of history and junior standing required.,3,History,4000,HIST 2004
HIST 4014,"History Lab: Creative Technologies, Hidden Histories, Informal Learning","Application of creative technologies to visualize hidden histories in transdisciplinary experiential learning projects. Training in creative technologies, informal learning techniques, interpretation of marginalized histories, and digital cultural heritage design. Consideration of ethical questions involving the representation of diverse social identities, traditions, and histories. Pre: Sophomore Standing.",3,History,4000,
HIST 4864,History Internship,"Placement in historically relevant work in one of a variety of settings. These may include museum interpretation and management, archival management, editing, historic preservation and more. Demonstrate historical research and communication skills. Plan with others in a professional setting. Apply disciplinary skills to site-based contemporary problems and situations. Evaluate the experience. Course may be repeated once for a maximum of 6 credit hours.",1,History,4000,
HIST 4914,History Research Seminar,"Variable topic, writing-intensive, capstone course for history majors. Provides in-depth knowledge of a specific historical subfield. Utilizes archival historical sources, online research databases, and existing literature to create an original work of historical scholarship. May be repeated with different content up to 6 hours. Junior standing or above required.",3,History,4000,( HIST 3814 and HIST 3914 ) or HIST 3904
HIST 5104,Historical Methods,Introduction to the theoretical frameworks and historiographical debates that inform the contemporary research and writing of history. Graduate standing required.,3,History,5000,
HIST 5114,U.S. to 1877,"American history, from European discovery through Reconstruction. Emphasis on major themes and developments in the emergence of the United States: exploration and settlement; encounters among Europeans, Africans, and Native Americans; achievement of political independence; territorial expansion and political conflict; immigration, industrialization, and urbanization; Civil War, emancipation, and Reconstruction.",3,History,5000,
HIST 5124,U.S. Since 1877,"Introduction to main themes in U.S. history beginning with post-Civil War industrialization. An intensive readings course emphasizing the social, cultural, political, economic and military changes in the century after Reconstruction.",3,History,5000,
HIST 5134,Research Methods for Historians,"Introduction to skills and methods used in the research, writing and publication of historical scholarship.",3,History,5000,HIST 5104
HIST 5154,Writing Skills for the Professional Historian,"Writing skills for clear, professional historical writing. Narrative approaches to writing public history, conference presentations, and scholarly publications. Methods of incorporating feedback. Self-editing skills. Pre: Graduate Standing.",2,History,5000,
HIST 5164,Writing Skills for Professional Historians II,"Advanced skills for professional historical writing. Emphasis on developing unique contributions to historical scholarship. Constructing significant arguments, organizing long-form projects, marshalling evidence, analyzing primary sources, historiographical framing, and proper citation methods.",3,History,5000,HIST 5154
HIST 5194,Topics in African American History,"Variable topics readings course focusing on the particular themes, key scholarly works, and historiographical debates in African American history as well as the multiple theoretical frameworks and historical method used in writing histories of the Black experience. May be repeated once with different content for a maximum of 6 credits. Pre: Graduate standing.",3,History,5000,
HIST 5205,Main Themes in the History of Science and Technology,"Methods and concepts in the history of science and technology. 5205: research methods, interpretive approaches, and contemporary issues in the history of science; 5206: research methods, interpretive approaches, and contemporary issues in the history of technology.",3,History,5000,
HIST 5206,Main Themes in the History of Science and Technology,"Methods and concepts in the history of science and technology. 5205: research methods, interpretive approaches, and contemporary issues in the history of science; 5206: research methods, interpretive approaches, and contemporary issues in the history of technology.",3,History,5000,
HIST 5214,Topics in Global History,"A variable content course exploring historiographical approaches to the study of global history from the classical age to the present. Special emphasis on chronological frameworks, histories and theories of globalization, and implications of new scholarship in global history for research and teaching. May be taken with different content for a total of 6 credit hours. Graduate standing required.",3,History,5000,
HIST 5224,Readings in African History,Variable topics readings course focusing on historiographical trends on particular themes in African history. May be taken with different content for a total of 6 credit hours. Pre: Graduate standing.,3,History,5000,
HIST 5404,Science in Modern America,"History of science connected to social and policy issues in modern America. Mutual influence between science and cultural factors such as race and gender, military and corporate funding, scientific communities and professionalization, and federal science policy. Diverse theoretical frameworks and research methods for writing about history of science. Pre: Graduate standing.",3,History,5000,
HIST 5414,Topics In Cultural History and Theory,A variable content course exploring the intersection of cultural theory and the discipline of history. Introduces important theoretical contributions to the study of culture and examines how historians have used these constructs to interpret the past. May be taken with different content for a total of 6 credit hours. Graduate standing required.,3,History,5000,
HIST 5424,Public History,"Introduction to the theoretical, interpretive, controversial, and practical issues facing public historians. Focus on interpretations and specific issues surrounding the presentation of history in museum exhibits, documentary films, photographic collections, community history projects, the Internet, and a variety of other public venues. Prerequisite: Graduate Standing required",3,History,5000,
HIST 5434,Oral History Methods,"Theory and methodology of oral history methods. Use of oral history interviews in historical research, questions of ethics, interpretation, and the construction of memory. Technical operations and a variety of interview techniques, transcription, and historical use of interviews. Pre: Graduate standing.",3,History,5000,
HIST 5444,Digital History Methods,"Methods for researching and presenting history in a digital environment, with special emphasis on use of digital media as a tool for public historians. Pre: Graduate standing.",3,History,5000,
HIST 5454,Topics in Public History,"Current methodological issues facing public history professionals, the intellectual foundations of these issues, and changing standards of practice in the field of public history to engage students in practical, experiential projects in public history. May be taken for a maximum of 6 credit hours. Pre: Graduate standing.",3,History,5000,
HIST 5484,Contemporary American Foreign Policy,"Covers U.S. foreign policy during the Cold War, the stalemate with the Soviet Union, armament and arms control, containment and deterrence, detente and Reaganism, and the end of the Cold War. Briefly covers events from 1989 to the present. Designed for students with an interest in foreign policy and the global affairs. Prereqs or instructors permission.",3,History,5000,PSCI 5214 and PSCI 5444
HIST 5544,Understanding The Israeli Palestinian Conflict,Dynamics of the Israeli-Palestinian conflict. Critical issues that underlie the conflict and divide Israel and the Palestinians. Diplomatic efforts aimed at resolving the conflict. Pre: Graduate Standing.,3,History,5000,
HIST 5694,Amer Environ Hist,Examination of the important ways Americans have shaped and been shaped by the natural environment from the time of European contact with the New World to the present. Emphasis on the evolution of environmental concern in the nineteenth and twentieth centuries.,3,History,5000,
HIST 5934,Gender in U.S. History,"Theoretical approaches to understanding the role of gender in political, economic and social life and in popular culture. Survey of major themes and developments since the seventeenth century. Concentration on the development of biological and sociological explanations of gender differences and similarities, and on the evolution of gendered politics and work and family relationships. Emphasis given to class, race, ethnic differences and differences in sexual orientation.",3,History,5000,
HNFE 1004,"Foods, Nutrition And Exercise","Scientific information applied to current concerns in foods, nutrition and exercise as it affects the nutritional health well-being of humans. I,II",3,"Human Nutrition, Foods, and Exercise",1000,
HNFE 1114,Orientation to HNFE,"An introduction to the academic and career planning for students in the Human Nutrition, Foods & Exercise major.",1,"Human Nutrition, Foods, and Exercise",1000,
HNFE 1214,Topics in Lifetime Activities,"Participation in physical activity, fitness assessment, motor skill development. Awareness and development of the physical, spiritual, emotional, social, and intellectual components of wellness. Application of healthy lifestyle choices for improved quality of life. May be repeated with varying content, for a maximum of 6 credits. Pass/Fail Only",1,"Human Nutrition, Foods, and Exercise",1000,
HNFE 1215,"Meraki Living Learning Community, Be Well, Be You","Introduces students in the Meraki Living Learning Community to six dimensions of well-being: purpose, social, financial, community, physical, and emotional. Classroom learning, guided practice, connection to well-being resources, and individual exploration to promote lifelong holistic health and well-being. Personal well-being focused on developing a concept of self, understanding purpose, and learning positive health behaviors to support physical activity, nutrition, mindfulness, and personal finance.",1,"Human Nutrition, Foods, and Exercise",1000,
HNFE 1216,"Meraki Living Learning Community, Be Well, Be You","Introduces students in the Meraki Living Learning Community to six dimensions of well-being: purpose, social, financial, community, physical, and emotional. Classroom learning, guided practice, and individual exploration to promote lifelong holistic health and well-being. Community well-being focused on mental health initiatives, student leadership, developing and sustaining relationships, and service.",1,"Human Nutrition, Foods, and Exercise",1000,HNFE 1215
HNFE 1804,Principles of Sport Science,"Introduction to the principal concepts of improving human physical capacity through sport, exercise training, and diet. Overview of musculoskeletal, cardiovascular, and nervous systems, and adaptations in endurance, strength, power, speed, and common mechanisms of injury. Use of scientific literature to examine the role of physical activity and sport across the lifespan including interactions with chronic disease. Careers in exercise science.",3,"Human Nutrition, Foods, and Exercise",1000,
HNFE 2004,Professional Dietetics,"Introduction to the profession of dietetics with emphasis on competencies, preparation, and responsibilities associated with dietetic practice. Overview of the structure of The American Dietetic Association (ADA) and its relationship to the dietetic professional. Discussion of current professional concerns. II",1,"Human Nutrition, Foods, and Exercise",2000,
