code,title,description,credits,department,level,prereqs
HNFE 4354,Dietary Supplements and Health,"Practical and fundamental aspects of widely used dietary supplements (micronutrients, macronutrients, prebiotics, probiotics, plant extracts, bioactive compounds,). Efficacy and mechanism of dietary and botanical supplements in weight management, health promotion, and disease prevention. Interaction of dietary supplements with gut microbiome. Safety and regulatory considerations of dietary supplements. Project-based learning practice with the integration of literature review, project development, writing, and oral presentation.",3,"Human Nutrition, Foods, and Exercise",4000,( BCHM 2024 or BCHM 3114 ) and ( BMSP 2136 and HNFE 2484 )
HNFE 4514,Nutritional Genomics,"Interactions between foods and nutrients with genetics, genomic DNA, and gene expression in humans and animals. Genetic variants that affect optimal health, metabolism and nutrition in individuals, as well as inheritance of these variants in individuals, and allele frequencies in populations. Scientific, ethical, and legal considerations of genes and nutrition knowledge, personalized testing, and genetic engineering. Junior standing.",3,"Human Nutrition, Foods, and Exercise",4000,HNFE 2484
HNFE 4604,Macronutrient Metabolism,"Study of bioenergetics and macronutrients, with emphasis on sources, interrelationships, and factors affecting utilization and metabolism. Changes in intakes related to metabolic states and diseases.",3,"Human Nutrition, Foods, and Exercise",4000,( HNFE 2014 or HNFE 2014H ) and ( BCHM 2024 or BCHM 3114 or BCHM 4115 )
HNFE 4624,Community Nutrition,The application of nutrition principles to an analysis of current applied nutrition programs and a study of the political and legislative processes affecting the practice of dietetics. I,3,"Human Nutrition, Foods, and Exercise",4000,( HNFE 2014 or HNFE 2014H ) and HNFE 4026
HNFE 4644,Health Counseling,"Roles, responsibilities, legal requirements and scope of the health professional. Interviewing, counseling, education, health promotion and behavior change strategies for diverse populations. Guidance and referral, health assessment, communication skills, and problem-solving. Application of counseling techniques such as goal-setting, ethical practice, cultural competence, evidence-based practice. Pre: Junior Standing.",3,"Human Nutrition, Foods, and Exercise",4000,
HNFE 4645,Applications in Nutrition Counseling,4645: Experiential methods to apply theories of behavior change to promote nutrition and health changes. Learn and apply nutrition care process using evidence-based knowledge through providing client-centered counseling to individuals. Understanding of contemporary issues related to behavior change and emerging issues through review of lay and professional literature. 4646: Advance nutrition counseling skills through work with more diverse clients. Learn and apply quality improvement skills to enhance nutrition counseling service. Identify information on emerging issues and apply appropriately in counseling setting.,2,"Human Nutrition, Foods, and Exercise",4000,HNFE 4644
HNFE 4704,Micronutrient Metabolism,"Study of essential vitamins and minerals with emphasis on sources and factors affecting utilization and metabolism. Physiology and interrelationships between vitamins and minerals as well as metabolic states, environmental, nutrition, and genetic diseases caused by or affecting micronutrient metabolism.",3,"Human Nutrition, Foods, and Exercise",4000,HNFE 4025 or HNFE 4604
HNFE 4754,Advanced Human Anatomy and Pathophysiology,"Advanced laboratory course in human anatomy and physiology with an emphasis on how pathologic disease states affect human homeostasis. Congenital, genetic, chronic, and common global diseases with recognition and evaluation of causes, risk factors, and impact on body systems. Cadaver prosections will supplement models, specimens, and an advanced anatomy visualization system. Intended for students pursuing graduate education in health sciences.",3,"Human Nutrition, Foods, and Exercise",4000,BMSP 2136 and BMSP 2146
HNFE 4774,Advanced Contemporary Topics in HNFE,"A variable-content course. Explores advanced topics in the areas of nutrition, foods, exercise or health using higher- order thinking and problem-solving skills. Qualitatively and quantitatively assess current facts supported by scientific literature, as well as controversial issues with conflicting data. May be repeated for a maximum of six credits. Junior Standing.",1,"Human Nutrition, Foods, and Exercise",4000,HNFE 2014 or HNFE 2014H and HNFE 2484
HNFE 4804,Exercise Metabolism and Disease,"Explores the role of exercise in the pathophysiology of human metabolic disease with an emphasis on obesity, diabetes, insulin resistance, and exercise tolerance at whole body, cellular and molecular level dysfunction. In-depth assessment of the prospect of exercise as preventive and therapeutic for treatment of metabolic diseases.",3,"Human Nutrition, Foods, and Exercise",4000,HNFE 4025 and HNFE 2804
